회의회차,요구자명,요구자정당,대상,실제요구자료,카테고리
364회,조원진,새누리당,행정안전부,대규모 공공시설물 내진보강을 위한 지진피해예방 예산 현황을 확인하기 위해 관련 예산 자료 제출 요구,예산·재정
367회,鄭仁和,,경찰청,퇴임 경찰관의 신분증 반납 현황을 경찰 사칭 문제의 심각성을 검증하기 위해 제출 요구,범죄·치안
367회,鄭仁和,,경찰청,버닝썬 사건과 관련하여 경찰관과 유착 의혹이 있는 용산구 소재 대형 클럽들에 대한 단속 및 수사 현황 자료를 국민 신뢰 회복을 위해 제출 요구,범죄·치안
367회,鄭仁和,,경찰청,제주 시범 실시 중인 자치경찰을 대상으로 한 익명 설문조사 결과를 자치경찰제의 문제점 파악과 성공적 정착을 위해 제출 요구,범죄·치안
367회,김민기,더불어민주당,국립과학수사연구원,김학의 전 차관 사건과 관련하여 흐릿한 영상과 음성에 대한 감정서 및 감정 원본 파일을 제출하여 감정 결과의 신뢰성을 검증하기 위해 자료 제출 요구,범죄·치안
367회,김민기,더불어민주당,국립과학수사연구원,김학의 전 차관 사건 감정 당시 국과수에 보관 중인 영상과 녹음기록 등 감정 관련 원본 자료를 제출하여 감정 과정과 결과를 확인하기 위해 자료 제출 요구,범죄·치안
367회,김민기,더불어민주당,행정안전부,새마을금고 관련 조직의 운영 현황과 지배구조 개선에 관한 구체적인 자료를 제출받아 행정안전부의 관리 및 감독 실태를 점검하기 위해 자료 제출 요구,인사·조직
367회,김영호,새누리당,경찰청,"김학의 전 차관에 대한 수사일지 기록과 담당 수사관 인사기록, 영장 신청 내용과 그 일자 및 기각 사유를 의원실에 제출해 달라는 자료 제출 요구",인사·조직
367회,홍익표,더불어민주당,경찰청,용산경찰서 관련 조선일보 방용훈 씨 사건 당시 용산경찰서장과 수사 담당 책임자 등 지휘계통에 있던 전원 명단을 제출해 달라는 자료 제출 요구,인사·조직
369회,권미혁,더불어민주당,중앙선거관리위원회,A-WEB 사무총장 선출 예정인 세 명의 후보자 명단을 회의 참석자 방에 제출해 달라는 요청,기타
369회,권미혁,더불어민주당,"인사혁신처, 행정안전부",무기 계약직 직무급제와 호봉제 혼재 문제 해결을 위한 논의 과정을 정리한 자료를 회의 참석자 방에 제출해 달라는 요청,인사·조직
369회,권은희,국민의당,행정안전부,안전대진단 관련 지자체 추진 실적 평가 결과와 국민인식도 설문조사 결과를 공개해 달라는 자료 제출 요구,재난·안전
369회,鄭仁和,,행정안전부,지역주도형 청년일자리사업의 본예산 감액 사유와 사업성과를 평가한 소명자료 제출 요구,예산·재정
369회,鄭仁和,,경찰청,"경찰 경비경력 냉방장치 전기공급사업의 설치 장소, 선정 기준, 설치비용, 공사기간 등 종합 검토를 위한 소명자료 제출 요구",예산·재정
369회,조원진,새누리당,경찰청,"2017년 3월 10일 탄핵 관련 집회와 관련하여 사전대책회의 자료와 참석자 명단, 경비계획서 사본, 경력 배치, 단계적 차단선 운용 및 세부전술, 경비대책회의 자료와 참석자 명단, 경비대책 결과자료, 경찰 지휘체계, 당시 귀청 청장의 일정과 차량 운행 기록 및 시간대별 위치, 지방청별 부대동원 내역 및 구역별 부대동원 내역, 안국역 출구별 경찰 배치 부대 및 지휘자 현황, 투명 차단벽 설치 현황, 동원한 각종 차량 및 장비 현황과 실제 장비 사용 내역, 집회·시위 관련 장비 사용 규칙·지침, 차벽 설치 현황과 관련 그림·도면·사진자료, 차벽 또는 차단선의 숨구멍 및 통행로 관련 근거자료를 제출하여 2017년 집회 관련 경찰 대응의 적정성을 검증하기 위해 자료 제출 요구",범죄·치안
369회,조원진,새누리당,경찰청,"2019년 6월 25일 광화문 광장 텐트 철거 관련 당일 기동대 출동 현황, 24개 중대별 배치 현황과 임무사항, 해당 중대 무전 녹취록, 행정대집행 관련 경찰의 규칙·지침·기준 일체를 제출하여 행정대집행 과정의 적법성과 경찰 대응을 확인하기 위해 자료 제출 요구",범죄·치안
369회,조원진,새누리당,경찰청,2019년 6월 25일 행정대집행 현장 관련 폭력 행위 동영상 자료를 제출하여 행정대집행 과정에서의 경찰의 역할과 폭력 방조 여부를 조사하기 위해 자료 제출 요구,범죄·치안
369회,홍익표,더불어민주당,행정안전부,재난 지원비가 피해 규모에 비례하여 현실적으로 지원되고 있는지 검토하기 위해 피해 산정 기준과 복구 지원비 지급 현황 자료 제출 요구,재난·안전
369회,홍익표,더불어민주당,자유한국당,소방관 국가직화법 관련 안건조정위원회 명단을 조기에 구성 및 회의 진행을 위해 명단 제출 요구,인사·조직
370회,鄭仁和,,서울경찰청,한강 몸통시신 사건과 관련하여 용의자가 서울경찰청에 자수하러 갔다가 서울종로경찰서로 돌려보낸 경위 확인을 위해 민원실 당직근무 지정 현황과 근무일지 제출 요구,범죄·치안
370회,이진복,새누리당,행정안전부 장관(진영 장관),지역주도형 청년일자리 사업에 대한 전반적인 전수조사가 필요하여 7월 11일에 요구한 자료가 한 달 넘게 제출되지 않은 이유를 확인하고 결산 심의 전까지 제출할 것을 요구,정책·제도
370회,이진복,새누리당,인사혁신처,공무원연금 자산 운용의 전문성 문제와 수익률 저조 원인 추적을 위해 지난 3년간 자산 운용 사례 전부를 제출할 것을 요구,예산·재정
370회,홍익표,더불어민주당,경찰청,경찰청 산하 자문위원회 및 경찰발전위원회 운영 실태와 이해관계 충돌 가능성 점검을 위해 관련 자료 제출 요구,인사·조직
370회,박완수,새누리당,정부,"조국 후보 관련 사모펀드 최대주주 업체가 수행한 전국 47곳 지자체 가로등 사업의 계약서와 지출내역, 집행내역 자료를 제출해 달라는 요구",예산·재정
371회,윤재옥,새누리당,경찰청,울산시장 수사와 관련하여 경찰청에서 울산청에 첩보를 내려보낸 사실과 수사 착수 및 지휘 보고 여부를 확인하기 위해 관련 자료 제출 요구,범죄·치안
371회,윤재옥,새누리당,경찰청,첩보의 최초 생산 주체와 청와대 민정에 수사 사항 보고 여부의 사실관계를 확인하기 위해 관련 자료 제출 요구,범죄·치안
371회,정성희,,중앙선거관리위원회,과거 공보 발송신청 내역 등을 고려하여 군인·경찰 선거공보 발송신청서 등기요금 예산의 적정성을 검증하기 위해 관련 발송신청 내역 자료 제출 요구,예산·재정
371회,정성희,,중앙선거관리위원회,광역조사팀 단속장비 및 사전투표소 유무선 통신장비의 현재 보유량과 과거 사용 수량을 확인하여 예산 감액 필요성을 검증하기 위해 관련 장비 보유 및 사용 현황 자료 제출 요구,예산·재정
371회,정성희,,중앙선거관리위원회,비상임위원에 대한 공명선거추진활동수당 등 수당 편성의 적법성 검토를 위해 비상임위원 수당 지급 내역 및 관련 법령 자료 제출 요구,예산·재정
371회,정성희,,경찰청,통합민원실 구축 사업의 사업성과 및 민원인 만족도 증가 여부를 확인하기 위해 2019년 시범 사업 추진 결과 및 성과 관련 자료 제출 요구,예산·재정
371회,정성희,,경찰청,드론 테러 대응장비의 보급 현황과 대응 태세 강화를 위한 장비 수요를 파악하기 위해 드론 테러 대응장비 운용 현황 및 추가 보급 계획 자료 제출 요구,재난·안전
371회,정성희,,소방청,고시원 간이스프링클러 설치 지원 사업의 수요량 산정 근거와 사업 진도 현황을 확인하여 예산 감액 필요성을 검증하기 위해 수요량 산출 근거 및 사업 진행 현황 자료 제출 요구,예산·재정
371회,정성희,,소방청,재난안전통신망 단말기 보급 사업의 수요량 조정 및 계획 보완을 위해 기능별 업무 분석 결과와 단말기 수요량 파악 자료 제출 요구,재난·안전
376회,김한정,더불어민주당,선거구획정위원회,노원구의 인구 감소 추이가 증가분보다 많거나 상쇄한다는 근거 자료 제출 요구,통계·현황
376회,김병관,더불어민주당,중앙선거관리위원회,코로나19 등 감염병 상황에서 선거법 예외 조항의 적용 가능성을 검토하기 위해 최근 선거사무실 폐쇄 및 유사 선거사무소 인정 관련 자료 제출 요구,정책·제도
376회,김병관,더불어민주당,부천시선거관리위원회,부천시 동 개편으로 인한 사전투표소 수 감소와 이에 따른 투표소별 인원 증가 현황을 확인하기 위해 2018년과 현재 사전투표소별 투표자 수 자료 제출 요구,통계·현황
376회,김병관,더불어민주당,중앙선거관리위원회,사전투표소 추가 설치가 가능한 법적 근거와 코로나19 상황에서 사전투표소 설치 확대 필요성 검토를 위해 관련 해석 및 검토 자료 제출 요구,정책·제도
376회,김병관,더불어민주당,중앙선거관리위원회,화성시 봉담읍 선거구 분할에 따른 사전투표소 설치 현황과 2개 선거구별 사전투표소 설치 가능성 검토를 위한 관련 자료 제출 요구,정책·제도
376회,김병관,더불어민주당,행정안전부,대동제 시행에 따른 동 행정구역 통합과 사전투표소 설치 현황 및 정책적 대응 방안 검토를 위해 관련 자료 제출 요구,정책·제도
377회,鄭仁和,,행정안전부,지역사랑상품권 부정유통 방지 대책의 효과를 검증하기 위해 1분기까지 등록 취소된 가맹점과 부당이익 환수액에 대한 통계 자료 제출 요구,범죄·치안
377회,鄭仁和,,행정안전부,부정유통 신고포상제의 운영 현황을 파악하기 위해 적발 건수와 지급액을 중심으로 한 부정유통 신고포상금 운영현황 자료 제출 요구,범죄·치안
377회,鄭仁和,,기획재정부,긴급재난지원금 지급 현황과 지자체의 부담 능력을 평가하기 위해 전국 지자체별 긴급재난지원금 지급 여부 및 지원 액수에 관한 기본 자료 제출 요구,예산·재정
377회,鄭仁和,,기획재정부,기업의 경제적 어려움 해소를 위한 추가적인 정책 수단과 지원 대책을 검토하기 위해 기존 정책 외에 마련된 기업 지원 관련 서류 제출 요구,정책·제도
377회,권은희,국민의당,행정안전부장관,개인정보 보호와 관련하여 법적 근거와 위법 여부를 검토한 후 그 결과를 제출해 달라는 자료 제출 요구,정책·제도
377회,권은희,국민의당,행정안전부장관,국무조정실의 국책연구기관 연구원 대상 개인정보 제출 요구의 문제점과 개인정보 보호 관련 소지를 살펴본 후 관련 자료를 제출해 달라는 자료 제출 요구,정책·제도
377회,권은희,국민의당,행정안전부,"정의연 관련하여 2017년부터 최근 4년간 실제 지출한 지급처와 지출액, 그리고 증빙서류에 대한 상세 자료를 제출해 달라는 자료 제출 요구",감사·점검
