base,label_l3,label_l2,confidence,rationale,evidence,source
경기북부특별자치도 설치 등에 관한 특별법안,지방행정,지방행정,0.8,특별자치도 설치와 관련된 법안으로 지방행정에 해당한다.,경기북부특별자치도 설치 등에 관한 특별법안,gpt:gpt-4o-mini
경기북부특별자치도 설치 및 접경지역경제자유특구 지정 등에 관한 특별법안,지방행정,지방행정,0.8,특별자치도 설치와 관련된 법안으로 지방행정에 해당한다.,경기북부특별자치도 설치 및 접경지역경제자유특구 지정 등에 관한 특별법안,gpt:gpt-4o-mini
경범죄 처벌법 일부개정법률안,안전및재난,재난·안전,0.7,경범죄 처벌과 관련된 법률안으로 안전 및 재난에 해당한다.,경범죄 처벌법 일부개정법률안,gpt:gpt-4o-mini
경비업법 일부개정법률안,안전및재난,재난·안전,0.7,경비업과 관련된 법률안으로 안전 및 재난에 해당한다.,경비업법 일부개정법률안,gpt:gpt-4o-mini
경비업법 일부개정법률안(계속),안전및재난,재난·안전,0.9,"경비업법은 안전과 관련된 법률로, 안전 및 재난 관리와 관련이 깊다.",경비업법 일부개정법률안,gpt:gpt-4o-mini
경비업법 일부개정법률안(대안),안전및재난,재난·안전,0.9,"경비업법은 안전과 관련된 법률로, 안전 및 재난 관리와 관련이 깊다.",경비업법 일부개정법률안(대안),gpt:gpt-4o-mini
경상북도와 대구광역시 간 관할구역 변경에 관한 법률안,지방행정,지방행정,0.8,관할구역 변경은 지방 행정과 관련된 사항이다.,경상북도와 대구광역시 간 관할구역 변경에 관한 법률안,gpt:gpt-4o-mini
경술국치일의 국가추념일 지정 촉구 결의안(김준형 의원 등 30인 발의),이북5도,지방재정·기타,0.7,"경술국치는 이북과 관련된 역사적 사건으로, 이북5도와 연결된다.",경술국치일의 국가추념일 지정 촉구 결의안,gpt:gpt-4o-mini
경제 형벌규정 개선을 위한 소방시설공사업법 등 4개 법률의 일부개정에 관한 법률안,안전및재난,재난·안전,0.85,소방시설과 관련된 법률 개정은 안전 및 재난 관리와 관련이 있다.,경제 형벌규정 개선을 위한 소방시설공사업법 등 4개 법률의 일부개정에 관한 법률안,gpt:gpt-4o-mini
경제 형벌규정 개선을 위한 자연재해대책법 등 3개 법률의 일부개정에 관한 법률안,안전및재난,재난·안전,0.8,"자연재해 대책법은 재난 안전과 관련된 법률로, 교육 및 연구와 연결된다.",경제 형벌규정 개선을 위한 자연재해대책법 등 3개 법률의 일부개정에 관한 법률안,gpt:gpt-4o-mini
경주기계천사건 희생자 심사 및 명예회복 등에 관한 특별법안,안전및재난,재난·안전,0.75,사건의 희생자와 관련된 법안은 안전 및 재난과 관련이 있다.,경주기계천사건 희생자 심사 및 명예회복 등에 관한 특별법안,gpt:gpt-4o-mini
경찰공무원 보건안전 및 복지 기본법 일부개정법률안,안전및재난,재난·안전,0.9,경찰공무원의 보건과 안전은 재난 관리와 밀접한 관련이 있다.,경찰공무원 보건안전 및 복지 기본법 일부개정법률안,gpt:gpt-4o-mini
경찰공무원 보건안전 및 복지 기본법 일부개정법률안(계속),안전및재난,재난·안전,0.9,경찰공무원의 보건과 안전은 재난 관리와 밀접한 관련이 있다.,경찰공무원 보건안전 및 복지 기본법 일부개정법률안(계속),gpt:gpt-4o-mini
경찰공무원 보건안전 및 복지 기본법 일부개정법률안(대안),안전및재난,재난·안전,0.9,경찰공무원의 보건과 안전은 재난 관리와 밀접한 관련이 있다.,경찰공무원 보건안전 및 복지 기본법 일부개정법률안(대안),gpt:gpt-4o-mini
경찰공무원법 일부개정법률안,안전및재난,재난·안전,0.8,경찰공무원법은 경찰의 안전과 관련된 법률이다.,경찰공무원법 일부개정법률안,gpt:gpt-4o-mini
경찰공무원법 일부개정법률안(계속),안전및재난,재난·안전,0.8,경찰공무원법은 경찰의 안전과 관련된 법률이다.,경찰공무원법 일부개정법률안(계속),gpt:gpt-4o-mini
경찰공무원법 일부개정법률안(대안),안전및재난,재난·안전,0.8,경찰공무원법은 경찰의 안전과 관련된 법률이다.,경찰공무원법 일부개정법률안(대안),gpt:gpt-4o-mini
경찰공무원법 전부개정법률안,안전및재난,재난·안전,0.8,경찰공무원법은 경찰의 안전과 관련된 법률이다.,경찰공무원법 전부개정법률안,gpt:gpt-4o-mini
경찰공무원법 전부개정법률안(계속),안전및재난,재난·안전,0.8,경찰공무원법은 경찰의 안전과 관련된 법률이다.,경찰공무원법 전부개정법률안(계속),gpt:gpt-4o-mini
경찰공무원법 전부개정법률안(대안),안전및재난,재난·안전,0.8,경찰공무원법은 경찰의 안전과 관련된 법률이다.,경찰공무원법 전부개정법률안(대안),gpt:gpt-4o-mini
경찰공제회법 일부개정법률안,안전및재난,재난·안전,0.75,경찰공제회법은 경찰의 안전과 관련된 법률이다.,경찰공제회법 일부개정법률안,gpt:gpt-4o-mini
경찰공제회법 일부개정법률안(계속),안전및재난,재난·안전,0.75,경찰공제회법은 경찰의 안전과 관련된 법률이다.,경찰공제회법 일부개정법률안(계속),gpt:gpt-4o-mini
경찰관 직무집행법 일부개정법률안,안전및재난,재난·안전,0.85,직무집행법은 경찰의 안전과 관련된 법률이다.,경찰관 직무집행법 일부개정법률안,gpt:gpt-4o-mini
경찰관 직무집행법 일부개정법률안(계속),안전및재난,재난·안전,0.85,직무집행법은 경찰의 안전과 관련된 법률이다.,경찰관 직무집행법 일부개정법률안(계속),gpt:gpt-4o-mini
경찰관 직무집행법 일부개정법률안(대안),안전및재난,재난·안전,0.85,직무집행법은 경찰의 안전과 관련된 법률이다.,경찰관 직무집행법 일부개정법률안(대안),gpt:gpt-4o-mini
경찰관 직무집행법 전부개정법률안,안전및재난,재난·안전,0.85,직무집행법은 경찰의 안전과 관련된 법률이다.,경찰관 직무집행법 전부개정법률안,gpt:gpt-4o-mini
경찰대학 설치법 일부개정법률안,안전및재난,재난·안전,0.8,경찰대학 설치는 경찰의 안전과 관련된 교육을 포함한다.,경찰대학 설치법 일부개정법률안,gpt:gpt-4o-mini
경찰대학 설치법 전부개정법률안,안전및재난,재난·안전,0.8,경찰대학 설치는 경찰의 안전과 관련된 교육을 포함한다.,경찰대학 설치법 전부개정법률안,gpt:gpt-4o-mini
경찰법 일부개정법률안,안전및재난,재난·안전,0.85,경찰법은 경찰의 안전과 관련된 법률이다.,경찰법 일부개정법률안,gpt:gpt-4o-mini
경찰법 일부개정법률안(계속),안전및재난,재난·안전,0.85,경찰법은 경찰의 안전과 관련된 법률이다.,경찰법 일부개정법률안(계속),gpt:gpt-4o-mini
경찰법 전부개정법률안,안전및재난,재난·안전,0.85,경찰법은 경찰의 안전과 관련된 법률이다.,경찰법 전부개정법률안,gpt:gpt-4o-mini
경찰법 전부개정법률안(계속),안전및재난,재난·안전,0.85,경찰법은 경찰의 안전과 관련된 법률이다.,경찰법 전부개정법률안(계속),gpt:gpt-4o-mini
경찰법 전부개정법률안(대안),안전및재난,재난·안전,0.85,경찰법은 경찰의 안전과 관련된 법률이다.,경찰법 전부개정법률안(대안),gpt:gpt-4o-mini
경찰옴부즈맨의 설치 및 운영에 관한 법률안,안전및재난,재난·안전,0.8,경찰옴부즈맨은 경찰의 안전과 관련된 운영을 포함한다.,경찰옴부즈맨의 설치 및 운영에 관한 법률안,gpt:gpt-4o-mini
경찰위원회의 설치와 운영에 관한 법률안,국민안전행정지원,재난·안전,0.9,경찰위원회와 관련된 법률안은 국민의 안전과 관련된 행정 지원을 포함한다.,경찰위원회의 설치와 운영에 관한 법률안,gpt:gpt-4o-mini
경찰제복 및 경찰장비의 규제에 관한 법률 일부개정법률안,국민안전행정지원,재난·안전,0.9,경찰 제복 및 장비의 규제는 경찰의 안전한 운영과 관련이 있다.,경찰제복 및 경찰장비의 규제에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
경찰제복 및 경찰장비의 규제에 관한 법률 일부개정법률안(계속),국민안전행정지원,재난·안전,0.9,경찰 제복 및 장비의 규제는 경찰의 안전한 운영과 관련이 있다.,경찰제복 및 경찰장비의 규제에 관한 법률 일부개정법률안(계속),gpt:gpt-4o-mini
경찰제복 및 경찰장비의 규제에 관한 법률 일부개정법률안(대안),국민안전행정지원,재난·안전,0.9,경찰 제복 및 장비의 규제는 경찰의 안전한 운영과 관련이 있다.,경찰제복 및 경찰장비의 규제에 관한 법률 일부개정법률안(대안),gpt:gpt-4o-mini
경찰청,국민안전행정지원,재난·안전,0.9,경찰청은 국민의 안전을 책임지는 기관이다.,경찰청,gpt:gpt-4o-mini
경찰청 소관,국민안전행정지원,재난·안전,0.9,경찰청 소관 사항은 국민의 안전과 관련이 있다.,경찰청 소관,gpt:gpt-4o-mini
경찰청장 및 증인 출석 요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장과 관련된 증인 출석 요구는 안전 행정과 관련이 있다.,경찰청장 및 증인 출석 요구의 건,gpt:gpt-4o-mini
경찰청장후보자(김창룡) 인사청문경과보고서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(김창룡) 인사청문경과보고서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(김창룡) 인사청문회,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(김창룡) 인사청문회,gpt:gpt-4o-mini
경찰청장후보자(김창룡) 인사청문회 실시 계획서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(김창룡) 인사청문회 실시 계획서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(김창룡) 인사청문회 자료제출 요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(김창룡) 인사청문회 자료제출 요구의 건,gpt:gpt-4o-mini
경찰청장후보자(김창룡) 인사청문회 증인․참고인 출석요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(김창룡) 인사청문회 증인․참고인 출석요구의 건,gpt:gpt-4o-mini
경찰청장후보자(민갑룡) 인사청문경과보고서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(민갑룡) 인사청문경과보고서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(민갑룡) 인사청문회,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(민갑룡) 인사청문회,gpt:gpt-4o-mini
경찰청장후보자(민갑룡) 인사청문회 실시 계획서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(민갑룡) 인사청문회 실시 계획서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(민갑룡) 인사청문회 자료제출 요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(민갑룡) 인사청문회 자료제출 요구의 건,gpt:gpt-4o-mini
경찰청장후보자(민갑룡) 인사청문회 증인․참고인 출석요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(민갑룡) 인사청문회 증인․참고인 출석요구의 건,gpt:gpt-4o-mini
경찰청장후보자(윤희근) 인사청문회,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(윤희근) 인사청문회,gpt:gpt-4o-mini
경찰청장후보자(윤희근) 인사청문회 실시계획서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(윤희근) 인사청문회 실시계획서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(윤희근) 인사청문회 자료제출 요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(윤희근) 인사청문회 자료제출 요구의 건,gpt:gpt-4o-mini
경찰청장후보자(윤희근) 인사청문회 증인․참고인 출석요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(윤희근) 인사청문회 증인․참고인 출석요구의 건,gpt:gpt-4o-mini
경찰청장후보자(조지호) 인사청문경과보고서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(조지호) 인사청문경과보고서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(조지호) 인사청문요청안,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(조지호) 인사청문요청안,gpt:gpt-4o-mini
경찰청장후보자(조지호) 인사청문회,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(조지호) 인사청문회,gpt:gpt-4o-mini
경찰청장후보자(조지호) 인사청문회 실시계획서 채택의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(조지호) 인사청문회 실시계획서 채택의 건,gpt:gpt-4o-mini
경찰청장후보자(조지호) 인사청문회 자료제출 요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(조지호) 인사청문회 자료제출 요구의 건,gpt:gpt-4o-mini
경찰청장후보자(조지호) 인사청문회 증인·참고인 출석요구의 건,국민안전행정지원,재난·안전,0.9,경찰청장 후보자의 인사청문회는 국민 안전과 관련된 행정 절차이다.,경찰청장후보자(조지호) 인사청문회 증인·참고인 출석요구의 건,gpt:gpt-4o-mini
고위공직자 보수 및 경비 심사 등에 관한 특별법안,국민안전행정지원,재난·안전,0.8,고위공직자의 보수 및 경비 심사는 공공 안전과 관련된 행정적 요소를 포함한다.,고위공직자 보수 및 경비 심사 등에 관한 특별법안,gpt:gpt-4o-mini
고위공직후보자 사전 인사검증에 관한 법률안,국민안전행정지원,재난·안전,0.8,고위공직후보자의 사전 인사검증은 공공 안전과 관련된 행정적 요소를 포함한다.,고위공직후보자 사전 인사검증에 관한 법률안,gpt:gpt-4o-mini
고향사랑 기부금에 관한 법률 일부개정법률안,국민안전행정지원,재난·안전,0.7,고향사랑 기부금 관련 법안은 지역 사회의 안전과 발전에 기여할 수 있다.,고향사랑 기부금에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
고향사랑 기부금에 관한 법률 일부개정법률안(대안),지방재정,지방재정·기타,0.9,고향사랑 기부금과 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑 기부금에 관한 법률,gpt:gpt-4o-mini
고향사랑 기부금에 관한 법률안,지방재정,지방재정·기타,0.9,고향사랑 기부금과 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑 기부금에 관한 법률안,gpt:gpt-4o-mini
고향사랑 기부금에 관한 법률안(계속),지방재정,지방재정·기타,0.9,고향사랑 기부금과 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑 기부금에 관한 법률안,gpt:gpt-4o-mini
고향사랑 기부금에 관한 법률안(대안),지방재정,지방재정·기타,0.9,고향사랑 기부금과 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑 기부금에 관한 법률안,gpt:gpt-4o-mini
고향사랑 기부제에 관한 법률안,지방재정,지방재정·기타,0.9,고향사랑 기부제와 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑 기부제에 관한 법률안,gpt:gpt-4o-mini
고향사랑 기부제에 관한 법률안(계속),지방재정,지방재정·기타,0.9,고향사랑 기부제와 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑 기부제에 관한 법률안,gpt:gpt-4o-mini
고향사랑상품권 발행․유통 등에 관한 법률안,지방재정,지방재정·기타,0.9,고향사랑상품권과 관련된 법률안은 지방재정과 관련이 깊다.,고향사랑상품권 발행․유통 등에 관한 법률안,gpt:gpt-4o-mini
공공기관의 정보공개에 관한 법률 일부개정법률안,전자정부,인공지능·디지털 정부,0.8,정보공개와 관련된 법률안은 전자정부와 관련이 있다.,공공기관의 정보공개에 관한 법률,gpt:gpt-4o-mini
공공기관의 정보공개에 관한 법률 일부개정법률안(계속),전자정부,인공지능·디지털 정부,0.8,정보공개와 관련된 법률안은 전자정부와 관련이 있다.,공공기관의 정보공개에 관한 법률,gpt:gpt-4o-mini
공공기관의 정보공개에 관한 법률 일부개정법률안(대안),전자정부,인공지능·디지털 정부,0.8,정보공개와 관련된 법률안은 전자정부와 관련이 있다.,공공기관의 정보공개에 관한 법률,gpt:gpt-4o-mini
공공기록물 관리에 관한 법률 일부개정법률안,국가기록물,인공지능·디지털 정부,0.9,공공기록물 관리와 관련된 법률안은 국가기록물과 관련이 있다.,공공기록물 관리에 관한 법률,gpt:gpt-4o-mini
공공기록물 관리에 관한 법률 일부개정법률안(계속),국가기록물,인공지능·디지털 정부,0.9,공공기록물 관리와 관련된 법률안은 국가기록물과 관련이 있다.,공공기록물 관리에 관한 법률,gpt:gpt-4o-mini
공공단체등 위탁선거에 관한 법률 일부개정법률안,지방행정,지방행정,0.8,위탁선거와 관련된 법률안은 지방행정과 관련이 있다.,공공단체등 위탁선거에 관한 법률,gpt:gpt-4o-mini
공공단체등 위탁선거에 관한 법률 일부개정법률안(계속),지방행정,지방행정,0.8,위탁선거와 관련된 법률안은 지방행정과 관련이 있다.,공공단체등 위탁선거에 관한 법률,gpt:gpt-4o-mini
공공단체등 위탁선거에 관한 법률 일부개정법률안(대안),지방행정,지방행정,0.8,위탁선거와 관련된 법률안은 지방행정과 관련이 있다.,공공단체등 위탁선거에 관한 법률,gpt:gpt-4o-mini
공공데이터의 제공 및 이용 활성화에 관한 법률 일부개정법률안,전자정부,인공지능·디지털 정부,0.9,공공데이터와 관련된 법률안은 전자정부와 관련이 있다.,공공데이터의 제공 및 이용 활성화에 관한 법률,gpt:gpt-4o-mini
공공성과보상사업의 추진 및 활성화에 관한 법률안,국가적중장기과제추진·지원,정부혁신·행정지원,0.8,공공성과보상사업은 국가적 중장기 과제와 관련이 있다.,공공성과보상사업의 추진 및 활성화에 관한 법률안,gpt:gpt-4o-mini
공공자원의 개방 및 국민 이용 활성화에 관한 법률안,전자정부,인공지능·디지털 정부,0.8,공공자원 개방과 관련된 법률안은 전자정부와 관련이 있다.,공공자원의 개방 및 국민 이용 활성화에 관한 법률안,gpt:gpt-4o-mini
공무원 노동조합 관련 해직공무원등의 복직 등에 관한 특별법 일부개정법률안,조직관리,정부혁신·행정지원,0.8,공무원 노동조합과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 노동조합 관련 해직공무원등의 복직 등에 관한 특별법,gpt:gpt-4o-mini
공무원 노동조합 관련 해직공무원등의 복직 등에 관한 특별법안(대안),조직관리,정부혁신·행정지원,0.8,공무원 노동조합과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 노동조합 관련 해직공무원등의 복직 등에 관한 특별법안,gpt:gpt-4o-mini
공무원 인재개발법 일부개정법률안,자치인력개발,지방행정,0.8,인재개발과 관련된 법률안은 자치 인력 개발과 관련이 있다.,공무원 인재개발법 일부개정법률안,gpt:gpt-4o-mini
공무원 재해보상법 일부개정법률안,조직관리,정부혁신·행정지원,0.8,재해보상과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 재해보상법 일부개정법률안,gpt:gpt-4o-mini
공무원 재해보상법 일부개정법률안 철회 동의의 건,조직관리,정부혁신·행정지원,0.8,재해보상과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 재해보상법 일부개정법률안 철회 동의의 건,gpt:gpt-4o-mini
공무원 재해보상법 일부개정법률안(대안),조직관리,정부혁신·행정지원,0.8,재해보상과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 재해보상법 일부개정법률안,gpt:gpt-4o-mini
공무원 재해보상법안,조직관리,정부혁신·행정지원,0.8,재해보상과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 재해보상법안,gpt:gpt-4o-mini
공무원 재해보상법안(계속),조직관리,정부혁신·행정지원,0.8,재해보상과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 재해보상법안,gpt:gpt-4o-mini
공무원 재해보상법안(대안),조직관리,정부혁신·행정지원,0.8,재해보상과 관련된 법률안은 조직 관리와 관련이 있다.,공무원 재해보상법안,gpt:gpt-4o-mini
공무원 후생복지에 관한 법률안,조직관리,정부혁신·행정지원,0.8,후생복지와 관련된 법률안은 조직 관리와 관련이 있다.,공무원 후생복지에 관한 법률안,gpt:gpt-4o-mini
공무원․교원 정치기본권 보장 관련 법률 개정에 관한 청원(청원번호 2100020),조직관리,정부혁신·행정지원,0.8,정치기본권 보장과 관련된 법률안은 조직 관리와 관련이 있다.,공무원․교원 정치기본권 보장 관련 법률 개정에 관한 청원,gpt:gpt-4o-mini
공무원보수규정 개정에 관한 입법 청원,조직관리,정부혁신·행정지원,0.8,보수규정 개정과 관련된 법률안은 조직 관리와 관련이 있다.,공무원보수규정 개정에 관한 입법 청원,gpt:gpt-4o-mini
공무원보수위원회의 설치 및 운영에 관한 법률안,조직관리,정부혁신·행정지원,0.9,공무원 보수와 관련된 법률안은 조직 관리와 관련이 깊다.,공무원보수위원회의 설치 및 운영에 관한 법률안,gpt:gpt-4o-mini
공무원연금 기금,지방재정,지방재정·기타,0.8,공무원 연금 기금은 지방 재정과 관련된 사항이다.,공무원연금 기금,gpt:gpt-4o-mini
공무원연금 소득공백 해소 및 온전한 퇴직금 보장에 관한 청원(석현정 외 5만 인 국민동의로 제출)(청원번호 2100102),지방재정,지방재정·기타,0.8,연금과 관련된 소득 보장은 지방 재정의 중요한 요소이다.,공무원연금 소득공백 해소 및 온전한 퇴직금 보장에 관한 청원,gpt:gpt-4o-mini
"공무원연금 소득공백해소를 위한 공무원 정년연장에 관한 청원(이해준 외 50,370인 국민동의로 제출)(청원번호 2200141)",지방재정,지방재정·기타,0.8,정년 연장은 공무원 연금과 관련된 재정적 측면을 포함한다.,공무원연금 소득공백해소를 위한 공무원 정년연장에 관한 청원,gpt:gpt-4o-mini
공무원연금기금,지방재정,지방재정·기타,0.8,공무원 연금 기금은 지방 재정의 중요한 부분이다.,공무원연금기금,gpt:gpt-4o-mini
공무원연금법 일부개정법률안,지방재정,지방재정·기타,0.8,연금법 개정은 지방 재정에 영향을 미친다.,공무원연금법 일부개정법률안,gpt:gpt-4o-mini
공무원연금법 일부개정법률안(계속),지방재정,지방재정·기타,0.8,연금법의 지속적인 개정은 지방 재정과 관련이 있다.,공무원연금법 일부개정법률안(계속),gpt:gpt-4o-mini
공무원연금법 일부개정법률안(대안),지방재정,지방재정·기타,0.8,대안 법률안도 지방 재정에 영향을 미친다.,공무원연금법 일부개정법률안(대안),gpt:gpt-4o-mini
공무원연금법 전부개정법률안,지방재정,지방재정·기타,0.8,전부 개정은 지방 재정에 큰 영향을 미친다.,공무원연금법 전부개정법률안,gpt:gpt-4o-mini
공무원연금법 전부개정법률안(계속),지방재정,지방재정·기타,0.8,계속적인 개정은 지방 재정과 관련이 있다.,공무원연금법 전부개정법률안(계속),gpt:gpt-4o-mini
공무원연금법 전부개정법률안(대안),지방재정,지방재정·기타,0.8,대안 법률안은 지방 재정에 영향을 미친다.,공무원연금법 전부개정법률안(대안),gpt:gpt-4o-mini
공무원직장협의회 설립․운영에 관한 법률 일부개정법률안,조직관리,정부혁신·행정지원,0.9,직장 협의회 설립은 조직 관리와 관련이 있다.,공무원직장협의회 설립․운영에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
공무원직장협의회 설립․운영에 관한 법률 일부개정법률안(계속),조직관리,정부혁신·행정지원,0.9,계속적인 운영은 조직 관리와 관련이 있다.,공무원직장협의회 설립․운영에 관한 법률 일부개정법률안(계속),gpt:gpt-4o-mini
공무원직장협의회의 설립·운영에 관한 법률 일부개정법률안,조직관리,정부혁신·행정지원,0.9,직장 협의회 설립은 조직 관리와 관련이 있다.,공무원직장협의회의 설립·운영에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안,조직관리,정부혁신·행정지원,0.9,직장 협의회 설립은 조직 관리와 관련이 있다.,공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안(계속),조직관리,정부혁신·행정지원,0.9,계속적인 운영은 조직 관리와 관련이 있다.,공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안(계속),gpt:gpt-4o-mini
공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안(대안),조직관리,정부혁신·행정지원,0.9,대안 법률안은 조직 관리와 관련이 있다.,공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안(대안),gpt:gpt-4o-mini
공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안(대안)(계속),조직관리,정부혁신·행정지원,0.9,계속적인 대안 법률안은 조직 관리와 관련이 있다.,공무원직장협의회의 설립․운영에 관한 법률 일부개정법률안(대안)(계속),gpt:gpt-4o-mini
공유재산 및 물품 관리법 일부개정법률안,지방재정,지방재정·기타,0.8,재산 관리 법률안은 지방 재정과 관련이 있다.,공유재산 및 물품 관리법 일부개정법률안,gpt:gpt-4o-mini
공유재산 및 물품 관리법 일부개정법률안(계속),지방재정,지방재정·기타,0.8,계속적인 개정은 지방 재정과 관련이 있다.,공유재산 및 물품 관리법 일부개정법률안(계속),gpt:gpt-4o-mini
공유재산 및 물품 관리법 일부개정법률안(대안),지방재정,지방재정·기타,0.8,대안 법률안은 지방 재정에 영향을 미친다.,공유재산 및 물품 관리법 일부개정법률안(대안),gpt:gpt-4o-mini
공유재산 및 물품 관리법 전부개정법률안,지방재정,지방재정·기타,0.8,전부 개정은 지방 재정에 큰 영향을 미친다.,공유재산 및 물품 관리법 전부개정법률안,gpt:gpt-4o-mini
공유재산특례제한법률안,지방재정,지방재정·기타,0.8,특례 제한은 지방 재정과 관련이 있다.,공유재산특례제한법률안,gpt:gpt-4o-mini
공유재산특례제한법안,지방재정,지방재정·기타,0.8,특례 제한은 지방 재정과 관련이 있다.,공유재산특례제한법안,gpt:gpt-4o-mini
공익증진을 위한 시민사회발전 기본법안,국가적중장기과제추진·지원,정부혁신·행정지원,0.7,시민 사회 발전은 국가적 중장기 과제와 관련이 있다.,공익증진을 위한 시민사회발전 기본법안,gpt:gpt-4o-mini
공인탐정업의 관리에 관한 법률안,안전및재난,재난·안전,0.6,탐정업 관리는 안전 및 재난과 관련이 있다.,공인탐정업의 관리에 관한 법률안,gpt:gpt-4o-mini
공중화장실 등에 관한 법률 일부개정법률안,안전및재난,재난·안전,0.7,공중화장실 관련 법률은 안전 및 재난과 관련이 있다.,공중화장실 등에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
공중화장실 등에 관한 법률 일부개정법률안(계속),안전및재난,재난·안전,0.7,계속적인 개정은 안전 및 재난과 관련이 있다.,공중화장실 등에 관한 법률 일부개정법률안(계속),gpt:gpt-4o-mini
공중화장실 등에 관한 법률 일부개정법률안(대안),안전및재난,재난·안전,0.7,대안 법률안은 안전 및 재난과 관련이 있다.,공중화장실 등에 관한 법률 일부개정법률안(대안),gpt:gpt-4o-mini
공직선거법 일부개정법률안,정부혁신,정부혁신·행정지원,0.6,선거법 개정은 정부 혁신과 관련이 있다.,공직선거법 일부개정법률안,gpt:gpt-4o-mini
