회차,주요안건,회의내용 요약,키워드(가중치포함),키워드_가중치맵,키워드_RAW_JSON
395회,행정안전위원회 간사 및 법안심사제2소위원장 선출 및 소위원회 위원 개선; 행정안전부장관 후보자 이상민 인사청문회 실시계획서 채택 및 일정 변경; 행정안전부장관 후보자 인사청문회 자료제출 요구 및 증인·참고인 출석요구 의결,"제395회 국회 행정안전위원회에서는 국민의힘 최춘식 위원을 간사 및 법안심사제2소위원장으로 선출하고, 행정안전부장관 후보자 이상민에 대한 인사청문회 실시계획서를 채택하였다. 청문회 일정은 증인 불출석 문제로 4월 28일에서 5월 3일로 변경되었으며, 증인 및 참고인 출석요구도 재의결되었다. 자료제출 요구는 64개 기관에 1070건이 접수되었으나 후보자 관련 자료 제출에 일부 미흡함이 있어 위원장과 간사가 강력히 요청하기로 하였다. 청문회 준비를 위한 서면 및 구두질의 제출 일정도 안내되었다. 증인 불출석에 따른 국회 권위 문제와 후보자의 도덕성 검증을 위한 자료 제출의 중요성이 강조되었다.","행정안전부장관 후보자(10), 인사청문회 일정 변경(9), 증인 및 참고인 출석요구(9), 자료제출 요구(8), 최춘식 위원(7), 국회 권위(7), 도덕성 검증(7), 서면 및 구두질의(5), 행정안전위원회 간사 선출(5)","{""국회 권위"":7,""도덕성 검증"":7,""최춘식 위원"":7,""자료제출 요구"":8,""서면 및 구두질의"":5,""인사청문회 일정 변경"":9,""행정안전부장관 후보자"":10,""증인 및 참고인 출석요구"":9,""행정안전위원회 간사 선출"":5}","[{""reason"":""회의 전반에서 인사청문회의 중심 대상이자 핵심 주제임"",""weight"":10,""keyword"":""행정안전부장관 후보자""},{""reason"":""증인 불출석 문제로 인해 청문회 일정이 조정되어 주요 쟁점이 됨"",""weight"":9,""keyword"":""인사청문회 일정 변경""},{""reason"":""청문회 진행을 위해 필수적인 절차로 불출석 문제로 논란이 발생함"",""weight"":9,""keyword"":""증인 및 참고인 출석요구""},{""reason"":""청문회 검증을 위한 핵심 절차로 다수의 자료 제출이 요구되었음"",""weight"":8,""keyword"":""자료제출 요구""},{""reason"":""국민의힘 간사 및 법안심사제2소위원장으로 선출되어 역할이 강조됨"",""weight"":7,""keyword"":""최춘식 위원""},{""reason"":""증인 불출석 사유에 따른 국회 권위 문제 제기가 있었음"",""weight"":7,""keyword"":""국회 권위""},{""reason"":""후보자의 친인척 금전 거래 등 도덕성 검증이 청문회의 핵심 쟁점임"",""weight"":7,""keyword"":""도덕성 검증""},{""reason"":""청문회 준비를 위한 질의서 제출 일정과 절차가 안내됨"",""weight"":5,""keyword"":""서면 및 구두질의""},{""reason"":""회의 초반 주요 인사 변경 사항으로 언급됨"",""weight"":5,""keyword"":""행정안전위원회 간사 선출""}]"
397회,행정안전부장관 이상민 후보자 인사청문회 실시; 중앙선거관리위원회 위원후보자 김필곤 및 노태악 인사청문회 및 경과보고서 채택; 증인 불출석 문제 및 국회 증인 출석 요구와 관련한 논의; 선거관리위원회 조직 운영 및 책임성 강화 방안 질의,"제397회 국회 행정안전위원회에서는 행정안전부장관 후보자 이상민에 대한 인사청문회를 실시하였다. 후보자는 디지털 정부 구현, 지방분권 강화, 재난안전관리체계 선진화 등 주요 정책 방향을 제시하였다. 증인 출석 문제로 일부 증인이 불출석하며 고발 조치 및 동행명령 가능성에 대한 논의가 있었다. 이어 중앙선거관리위원회 위원 후보자 김필곤과 노태악에 대한 인사청문회가 진행되었고, 두 후보자 모두 청렴성과 적격성을 인정받아 경과보고서가 채택되었다. 선거관리위원회 조직의 책임성 강화와 상근제 도입 필요성에 대한 질의도 이루어졌다. 회의는 위원들의 협조와 행정실의 노고에 대한 감사 인사와 함께 마무리되었다.","행정안전부장관(10), 인사청문회(10), 증인 불출석(8), 중앙선거관리위원회(9), 책임성 강화(7), 디지털 정부(6), 지방분권(6), 재난안전관리(6), 인사청문경과보고서(5), 국회 행정실(3)","{""지방분권"":6,""인사청문회"":10,""국회 행정실"":3,""디지털 정부"":6,""증인 불출석"":8,""책임성 강화"":7,""재난안전관리"":6,""행정안전부장관"":10,""인사청문경과보고서"":5,""중앙선거관리위원회"":9}","[{""reason"":""회의의 핵심 안건으로 후보자 인사청문회가 진행됨"",""weight"":10,""keyword"":""행정안전부장관""},{""reason"":""주요 후보자들에 대한 검증 절차로 회의 전반에 걸쳐 진행됨"",""weight"":10,""keyword"":""인사청문회""},{""reason"":""증인 출석 거부로 인한 고발 조치 및 국회 권한 행사 논의가 있었음"",""weight"":8,""keyword"":""증인 불출석""},{""reason"":""위원 후보자 인사청문회 및 조직 운영 문제 논의가 주요 안건임"",""weight"":9,""keyword"":""중앙선거관리위원회""},{""reason"":""선관위 조직의 상근제 도입 및 국정감사 출석 등 책임성 강화 요구가 제기됨"",""weight"":7,""keyword"":""책임성 강화""},{""reason"":""행정안전부장관 후보자가 제시한 주요 정책 방향 중 하나임"",""weight"":6,""keyword"":""디지털 정부""},{""reason"":""행정안전부의 핵심 과제로 후보자가 강조한 내용임"",""weight"":6,""keyword"":""지방분권""},{""reason"":""행정안전부장관 후보자가 추진할 정책 중 하나로 언급됨"",""weight"":6,""keyword"":""재난안전관리""},{""reason"":""후보자들에 대한 검증 결과를 공식화하는 문서로 채택됨"",""weight"":5,""keyword"":""인사청문경과보고서""},{""reason"":""회의 준비와 지원에 대한 감사 인사에서 언급됨"",""weight"":3,""keyword"":""국회 행정실""}]"
398회,행정안전위원회 후반기 위원장 및 간사 선임; 경찰청장 후보자 윤희근 인사청문회 실시 및 질의응답; 경찰국 신설 및 경찰 조직의 독립성 문제 논의; 소위원회 구성 및 향후 업무보고 일정 협의; 인사청문경과보고서 채택 협의 지연,"제398회 국회 행정안전위원회 임시회에서는 후반기 위원장 이채익 위원과 여야 간사 김교흥, 이만희 위원을 선임하였다. 경찰청장 후보자 윤희근에 대한 인사청문회가 진행되었으며, 후보자의 도덕성 및 국정수행 능력에 대한 다각적 질의가 이루어졌다. 특히 경찰국 신설과 경찰 조직의 독립성 문제를 둘러싼 여야 간 대립이 심화되었고, 이에 따른 업무보고 일정과 인사청문경과보고서 채택이 지연되었다. 위원들은 국민 안전과 경찰 개혁의 중요성을 강조하며 협력 의지를 표명하였다. 소위원회 구성도 확정되어 향후 법안 심사와 청원 심사가 체계적으로 진행될 예정이다. 회의는 여야 간 협의 부족으로 일부 안건 처리에 어려움을 겪으며 마무리되었다.","경찰청장 후보자(10), 경찰국 신설(9), 행정안전위원회(10), 간사 선임(7), 인사청문경과보고서(8), 경찰 조직 독립성(9), 소위원회 구성(6), 국민 안전(7), 여야 협치(7), 업무보고 일정(5)","{""간사 선임"":7,""국민 안전"":7,""여야 협치"":7,""경찰국 신설"":9,""소위원회 구성"":6,""업무보고 일정"":5,""행정안전위원회"":10,""경찰청장 후보자"":10,""경찰 조직 독립성"":9,""인사청문경과보고서"":8}","[{""reason"":""인사청문회의 중심 대상이자 주요 질의와 논쟁의 핵심 인물"",""weight"":10,""keyword"":""경찰청장 후보자""},{""reason"":""여야 간 심각한 대립과 파행의 원인이 된 주요 쟁점"",""weight"":9,""keyword"":""경찰국 신설""},{""reason"":""회의를 주관하는 상임위원회로서 모든 논의의 중심"",""weight"":10,""keyword"":""행정안전위원회""},{""reason"":""위원회 운영의 핵심 역할을 하는 간사 선임이 이루어짐"",""weight"":7,""keyword"":""간사 선임""},{""reason"":""채택 협의가 지연되어 회의 진행에 영향을 미침"",""weight"":8,""keyword"":""인사청문경과보고서""},{""reason"":""경찰국 신설과 관련하여 경찰 권한과 독립성 문제로 집중 논의됨"",""weight"":9,""keyword"":""경찰 조직 독립성""},{""reason"":""법안 및 청원 심사를 위한 소위원회 구성이 확정됨"",""weight"":6,""keyword"":""소위원회 구성""},{""reason"":""위원들이 강조한 행안위의 최우선 과제"",""weight"":7,""keyword"":""국민 안전""},{""reason"":""회의 내내 강조된 원활한 위원회 운영을 위한 필수 요소"",""weight"":7,""keyword"":""여야 협치""},{""reason"":""경찰국 신설 관련 업무보고 일정 협의가 지연됨"",""weight"":5,""keyword"":""업무보고 일정""}]"
399회,행정안전부 및 경찰청 업무보고; 디지털플랫폼정부 구축 및 정부 혁신 추진; 지역균형발전 및 지방소멸 대응 정책; 재난안전관리 체계 강화 및 피해 복구 지원; 중앙선거관리위원회 선거관리 신뢰성 및 감사 문제,"제399회 국회 행정안전위원회에서는 행정안전부와 경찰청의 업무보고를 중심으로 디지털플랫폼정부 구축, 지역균형발전, 재난안전관리 강화 등 주요 정책 추진 현황과 계획을 점검하였다. 특히 지방소멸 대응과 균형인사 정책의 중요성이 강조되었으며, 중앙선거관리위원회의 선거관리 신뢰성 문제와 감사 필요성도 논의되었다. 제주 4·3항쟁 등 과거사 정의로운 해결과 기록유산화에 대한 요청도 있었다. 소방력 확충과 지방 소방서 신설 필요성에 대한 질의도 이루어졌으며, 위원들은 각 기관에 적극적인 협조와 신속한 답변을 당부하였다.","행정안전부(10), 디지털플랫폼정부(9), 지역균형발전(9), 재난안전관리(8), 중앙선거관리위원회(8), 균형인사(7), 소방청(6), 과거사정리위원회(5), 국회방송(3)","{""소방청"":6,""국회방송"":3,""균형인사"":7,""행정안전부"":10,""재난안전관리"":8,""지역균형발전"":9,""과거사정리위원회"":5,""디지털플랫폼정부"":9,""중앙선거관리위원회"":8}","[{""reason"":""회의의 중심 기관으로 업무보고와 정책 추진 현황이 핵심 주제로 다뤄짐"",""weight"":10,""keyword"":""행정안전부""},{""reason"":""정부 혁신과 국민 편의 증진을 위한 주요 정책과제로 반복 언급됨"",""weight"":9,""keyword"":""디지털플랫폼정부""},{""reason"":""지방소멸 대응과 지방분권 강화 관련 핵심 안건으로 다뤄짐"",""weight"":9,""keyword"":""지역균형발전""},{""reason"":""재난 대응 및 피해 복구 지원 정책이 중요한 논의 대상임"",""weight"":8,""keyword"":""재난안전관리""},{""reason"":""선거관리 신뢰성 문제와 감사 필요성에 대한 심도 있는 질의가 있었음"",""weight"":8,""keyword"":""중앙선거관리위원회""},{""reason"":""지방소멸 방지와 공직 내 다양성 확보를 위한 인사 정책으로 강조됨"",""weight"":7,""keyword"":""균형인사""},{""reason"":""지방 소방서 신설과 소방력 보강 필요성에 대한 질의가 이루어짐"",""weight"":6,""keyword"":""소방청""},{""reason"":""제주 4·3항쟁 등 과거사 정의로운 해결과 기록화 요청이 제기됨"",""weight"":5,""keyword"":""과거사정리위원회""},{""reason"":""회의 중계 방식이 언급되어 회의의 공개성과 투명성을 나타냄"",""weight"":3,""keyword"":""국회방송""}]"
400회,이태원 참사 사고 관련 현안 질의 및 진상 규명; 2023년도 행정안전부 및 소관기관 예산안 심사 및 상정 문제; 재난 및 안전관리 기본법 일부개정법률안 상정 및 심사; 여성가족부 폐지 찬성 및 동의에 관한 청원 심사기간 연장; 행정안전위원회 회의 운영 및 여야 간사 간 협치 문제,"제400회 국회 행정안전위원회에서는 이태원 참사 사고와 관련한 현안 질의를 중심으로 진행되었다. 재난 및 안전관리 기본법 개정안 8건을 긴급 상정하여 안전관리 강화 방안을 논의했으며, 여성가족부 폐지 청원의 심사기간 연장도 의결하였다. 2023년도 행안부 및 소관기관 예산안 심사 과정에서 여야 간 이견과 협치 문제로 예산안 상정이 지연되어 위원 간 갈등이 표출되었다. 현안 질의에서는 참사 원인으로 정보 및 협력체계 부재가 지적되었고, 보고체계 개선과 비상대응체계 재설계가 요구되었다. 위원장과 여야 간사는 참사에 대한 엄중한 책임감을 표명하며 재발 방지 대책 마련과 국회의 적극적 협력을 강조하였다. 회의는 국민 안전을 최우선으로 하는 행정과 법률, 예산 지원 의지를 다짐하며 마무리되었다.","이태원 참사(10), 예산안 심사(9), 재난 및 안전관리법(8), 여성가족부 폐지 청원(7), 보고체계(7), 협치 문제(6), 경찰국 예산(6), 현안 질의(5), 국민 안전(5), 유가족 위로(4)","{""보고체계"":7,""국민 안전"":5,""현안 질의"":5,""협치 문제"":6,""경찰국 예산"":6,""예산안 심사"":9,""유가족 위로"":4,""이태원 참사"":10,""재난 및 안전관리법"":8,""여성가족부 폐지 청원"":7}","[{""reason"":""회의 전반에서 가장 핵심적으로 반복 언급된 사고 및 현안 주제"",""weight"":10,""keyword"":""이태원 참사""},{""reason"":""2023년도 행안부 및 소관기관 예산안 처리 과정에서 주요 쟁점으로 부각됨"",""weight"":9,""keyword"":""예산안 심사""},{""reason"":""안전관리 강화와 참사 재발 방지를 위한 법률안 상정 및 논의 중심"",""weight"":8,""keyword"":""재난 및 안전관리법""},{""reason"":""청원 심사기간 연장 및 관련 법안과 연계 심사로 주요 안건에 포함됨"",""weight"":7,""keyword"":""여성가족부 폐지 청원""},{""reason"":""참사 당시 대통령실 및 관련 기관 간 보고체계 문제점 지적"",""weight"":7,""keyword"":""보고체계""},{""reason"":""예산안 심사 및 상정 과정에서 여야 간 협치 부재로 갈등 발생"",""weight"":6,""keyword"":""협치 문제""},{""reason"":""경찰국 설치 및 예산 삭감 문제로 여야 간 논쟁의 핵심 쟁점"",""weight"":6,""keyword"":""경찰국 예산""},{""reason"":""이태원 참사 관련 증인 출석 및 기관장 질의로 진행된 주요 회의 내용"",""weight"":5,""keyword"":""현안 질의""},{""reason"":""회의 전반에서 강조된 행정과 정책의 최우선 가치"",""weight"":5,""keyword"":""국민 안전""},{""reason"":""참사 희생자 및 유가족에 대한 위로와 지원 의지 표명"",""weight"":4,""keyword"":""유가족 위로""}]"
403회,정부조직법 일부개정법률안 심사 및 의결; 지방세 관련 법률안 통합 조정 및 의결; 위원회 통폐합 및 행정기관 소속 위원회 정비; 지방공기업법 일부개정법률안 심사 및 의결; 공공단체등 위탁선거에 관한 법률 일부개정법률안 심사 및 의결,"제403회 국회 행정안전위원회에서는 국가보훈처 승격과 재외동포청 신설을 포함한 정부조직법 일부개정법률안과 지방세특례제한법 등 지방세 관련 법률안들을 통합 조정하여 심사 및 의결하였다. 또한, 유사·중복 위원회 통폐합과 행정기관 소속 위원회 정비를 위한 법률안도 논의되었으며, 지방공기업법 일부개정법률안과 공공단체등 위탁선거법 일부개정법률안도 원안 또는 수정안대로 의결되었다. 위원회는 신속하고 효율적인 법안 처리를 강조하며, 지방시대 구현과 국민 체감 안전 강화에 중점을 두었다. 일부 쟁점 법안은 추가 논의를 위해 계류되었고, 위원회 운영의 내실화와 지방재정 관리의 효율성 제고 방안도 검토되었다. 정부 측은 의결된 법안의 차질 없는 시행을 약속하였다.","정부조직법(10), 지방세법(9), 위원회 통폐합(8), 지방공기업법(7), 공공단체 위탁선거법(7), 지방재정관리(6), 법안 심사(6), 국가보훈부 승격(5), 재외동포청 신설(5), 지방시대(4)","{""지방세법"":9,""지방시대"":4,""법안 심사"":6,""정부조직법"":10,""지방공기업법"":7,""지방재정관리"":6,""위원회 통폐합"":8,""국가보훈부 승격"":5,""재외동포청 신설"":5,""공공단체 위탁선거법"":7}","[{""reason"":""국가보훈부 승격과 재외동포청 신설 등 핵심 개정안으로 회의 전반의 중심 주제"",""weight"":10,""keyword"":""정부조직법""},{""reason"":""지방세특례제한법 및 지방세법 일부개정안 통합 조정과 의결이 주요 안건임"",""weight"":9,""keyword"":""지방세법""},{""reason"":""유사·중복 위원회 통폐합과 행정기관 위원회 정비가 중요한 논의 대상"",""weight"":8,""keyword"":""위원회 통폐합""},{""reason"":""지방공기업 계약 분쟁 해결 절차 마련을 위한 일부개정법률안 심사 및 의결"",""weight"":7,""keyword"":""지방공기업법""},{""reason"":""산림조합장 선거 관련 법률 개정안 심사 및 의결이 이루어짐"",""weight"":7,""keyword"":""공공단체 위탁선거법""},{""reason"":""지방재정부담심의위원회와 지방재정위기관리위원회 통합 논의가 반복됨"",""weight"":6,""keyword"":""지방재정관리""},{""reason"":""법안심사소위원회 보고와 통합 조정, 대안 제안 등 심사 과정이 상세히 다뤄짐"",""weight"":6,""keyword"":""법안 심사""},{""reason"":""정부조직법 개정안 중 국가보훈처 승격이 핵심 내용으로 언급됨"",""weight"":5,""keyword"":""국가보훈부 승격""},{""reason"":""정부조직법 개정안에서 외교부 소속 재외동포청 신설이 포함됨"",""weight"":5,""keyword"":""재외동포청 신설""},{""reason"":""지역균형발전과 지방시대 구현을 위한 법안 통과 촉구가 있었음"",""weight"":4,""keyword"":""지방시대""}]"
404회,행정안전부 및 소관 기관 업무보고 및 현안 질의; 지방자치분권 및 지역균형발전 특별법 통과 촉구; 제주 4·3 사건 진상규명 및 트라우마센터 지원 문제; 집회 및 시위 관련 법령 개정과 주요도로 집회 제한 논란; 진실·화해를 위한 과거사정리위원회 위원 임명 문제,"404회 국회 행정안전위원회에서는 행정안전부 등 소관 기관의 업무보고를 받고 현안 질의를 진행하였다. 지방자치분권 및 지역균형발전 특별법의 조속한 통과를 촉구하며, 윤석열 정부의 지방시대 공약 이행을 강조하였다. 제주 4·3 사건과 관련해 진상규명 및 트라우마센터 지원 확대 필요성이 제기되었고, 과거사위원회 위원 임명 지연과 역사 인식 문제도 논의되었다. 집회 및 시위 자유 보장과 주요도로 집회 제한에 관한 법적 해석과 시행 문제도 쟁점으로 다뤄졌다. 경찰청장 부친 별세로 경찰청 차장이 업무보고에 참석하는 등 현안 대응 상황도 보고되었다. 회의는 법률안 심사와 서면질의 제출 지시로 마무리되었다.","행정안전부(10), 지방자치분권(9), 제주 4·3 사건(9), 집회 및 시위(8), 진실·화해를 위한 과거사정리위원회(7), 디지털플랫폼정부(6), 안전관리(6), 법률안 심사(5), 경찰청(4)","{""경찰청"":4,""안전관리"":6,""행정안전부"":10,""법률안 심사"":5,""집회 및 시위"":8,""제주 4·3 사건"":9,""지방자치분권"":9,""디지털플랫폼정부"":6,""진실·화해를 위한 과거사정리위원회"":7}","[{""reason"":""회의의 중심 기관으로 업무보고와 정책 추진 현황이 핵심적으로 다뤄짐"",""weight"":10,""keyword"":""행정안전부""},{""reason"":""지방시대 실현과 지역균형발전 특별법 통과가 주요 안건으로 강조됨"",""weight"":9,""keyword"":""지방자치분권""},{""reason"":""과거사 문제와 진상규명, 트라우마센터 지원 확대가 집중 논의됨"",""weight"":9,""keyword"":""제주 4·3 사건""},{""reason"":""주요도로 집회 제한과 집시법 개정 관련 쟁점이 심도 있게 다뤄짐"",""weight"":8,""keyword"":""집회 및 시위""},{""reason"":""위원 임명 지연과 역사 인식 문제로 회의 중 쟁점이 됨"",""weight"":7,""keyword"":""진실·화해를 위한 과거사정리위원회""},{""reason"":""행정안전부의 주요 정책과제로 디지털 혁신과 공공서비스 개선이 언급됨"",""weight"":6,""keyword"":""디지털플랫폼정부""},{""reason"":""국가안전시스템 개편과 재난 대응 등 안전 강화가 주요 업무임"",""weight"":6,""keyword"":""안전관리""},{""reason"":""회의 종료 시 법률안 심사소위원회 회부 지시가 있었음"",""weight"":5,""keyword"":""법률안 심사""},{""reason"":""경찰청장 부친 별세로 차장이 업무보고에 참석하는 등 현안 상황 보고됨"",""weight"":4,""keyword"":""경찰청""}]"
405회,전세사기 피해 최소화를 위한 지방세기본법 일부개정법률안 심사 및 의결; 교원의 정치적 기본권 보장 관련 법률안 제안 및 논의; 여수·순천 10·19사건 진상규명 및 희생자 명예회복 특별법 일부개정법률안 심사; 경기북부특별자치도 설치 등에 관한 특별법안 제안 및 설명; 행정기관 소속 위원회 정비 및 소방기본법 등 관련 법률안 심사,"제405회 국회 행정안전위원회에서는 전세사기 피해를 줄이기 위해 지방세보다 임차인의 임차보증금을 우선변제하도록 하는 지방세기본법 일부개정법률안을 포함한 137건의 법률안을 상정하고 심사하였다. 전세사기 피해 방지 법안은 여야 합의로 신속히 처리되었으며, 국세와 지방세 간 우선변제 원칙의 일관성 확보가 강조되었다. 또한 교원의 정치적 기본권 보장, 여수·순천 10·19사건 희생자 및 유족 지원 확대, 경기북부특별자치도 설치 등 다양한 사회적·지역 현안 법안도 논의되었다. 행정기관 위원회 운영 효율화와 소방기본법 개정안도 심사되었으며, 관련 기관장들의 인사말씀과 협조 요청이 이어졌다. 위원회는 국민 생활과 권익 보호에 중점을 두고 신속하고 명확한 법안 처리를 다짐하며 회의를 마무리하였다.","전세사기(10), 지방세기본법(10), 임차보증금 우선변제(9), 교원의 정치적 기본권(8), 여수·순천 10·19사건(7), 경기북부특별자치도(7), 행정기관 소속 위원회 정비(6), 소방기본법(5), 국세와 지방세(6), 법안 심사 및 의결(7)","{""전세사기"":10,""소방기본법"":5,""지방세기본법"":10,""국세와 지방세"":6,""법안 심사 및 의결"":7,""경기북부특별자치도"":7,""여수·순천 10·19사건"":7,""임차보증금 우선변제"":9,""교원의 정치적 기본권"":8,""행정기관 소속 위원회 정비"":6}","[{""reason"":""회의 전반에서 가장 핵심적으로 반복 언급된 피해 최소화 법안의 주제"",""weight"":10,""keyword"":""전세사기""},{""reason"":""전세사기 피해 관련 법안의 주요 법률 근거로 집중 심사됨"",""weight"":10,""keyword"":""지방세기본법""},{""reason"":""전세사기 피해자 보호를 위한 법안의 핵심 내용"",""weight"":9,""keyword"":""임차보증금 우선변제""},{""reason"":""교사들의 정치활동 권리 보장 관련 법안이 주요 안건으로 다뤄짐"",""weight"":8,""keyword"":""교원의 정치적 기본권""},{""reason"":""희생자 및 유족 지원 확대를 위한 특별법 개정안이 심사됨"",""weight"":7,""keyword"":""여수·순천 10·19사건""},{""reason"":""지역 균형 발전과 행정구역 개편 관련 특별법안 제안 및 설명"",""weight"":7,""keyword"":""경기북부특별자치도""},{""reason"":""위원회 운영 효율화 및 관련 법률 개정안이 논의됨"",""weight"":6,""keyword"":""행정기관 소속 위원회 정비""},{""reason"":""소방 관련 법률 개정안이 포함되어 심사됨"",""weight"":5,""keyword"":""소방기본법""},{""reason"":""전세사기 피해 관련 법안에서 국세와 지방세 간 우선변제 원칙 조율이 중요하게 다뤄짐"",""weight"":6,""keyword"":""국세와 지방세""},{""reason"":""회의의 주요 활동으로 다수 법률안의 심사와 의결이 이루어짐"",""weight"":7,""keyword"":""법안 심사 및 의결""}]"
406회,"중앙선거관리위원회의 자녀 특혜채용 의혹 및 해킹 사건 관련 자료 요구 및 현안질의; 지방자치단체 계약 및 지방자치법, 공무원연금법 일부개정법률안 심사 및 의결; 특별자치도(강원도, 제주도 등) 설치 및 운영 관련 법률안 심사와 제주특별자치도 기초자치단체 부활 논의","406회 국회 행정안전위원회에서는 중앙선거관리위원회의 자녀 특혜채용 의혹과 2021년 북한 해킹 사건 관련 자료 제출 요구 및 현안질의를 중점적으로 다루었다. 이어 지방자치단체 계약법, 지방자치법, 공무원연금법 일부개정법률안에 대해 심사하고 의결하였다. 특별자치도 설치 및 운영과 관련하여 강원도와 제주도의 특별자치도 법률 개정안이 논의되었으며, 제주특별자치도의 기초자치단체 부활에 관한 절차적 근거 마련에 대한 의견이 교환되었다. 행정안전부와 인사혁신처는 법안 의결에 협조하며 향후 시행 준비에 만전을 기할 것을 약속했다. 회의는 관련 법률안 의결과 향후 특별자치도 운영 방향에 대한 정부 차원의 검토 계획 발표로 마무리되었다.","중앙선거관리위원회(10), 특혜채용 의혹(9), 해킹 사건(9), 지방자치법(8), 특별자치도(8), 기초자치단체 부활(7), 공무원연금법(7), 지방자치단체 계약법(7), 행정안전부(6), 자료 제출 요구(6)","{""해킹 사건"":9,""지방자치법"":8,""특별자치도"":8,""행정안전부"":6,""공무원연금법"":7,""특혜채용 의혹"":9,""자료 제출 요구"":6,""기초자치단체 부활"":7,""중앙선거관리위원회"":10,""지방자치단체 계약법"":7}","[{""reason"":""회의 전반에서 자녀 특혜채용 의혹과 해킹 사건 관련 현안질의의 핵심 주제"",""weight"":10,""keyword"":""중앙선거관리위원회""},{""reason"":""선관위 도덕성 문제와 국민 의혹 해소를 위한 주요 쟁점"",""weight"":9,""keyword"":""특혜채용 의혹""},{""reason"":""2021년 북한 관련 악성코드 감염 및 대응 문제로 집중 논의됨"",""weight"":9,""keyword"":""해킹 사건""},{""reason"":""특별자치도 설치 및 운영, 기초자치단체 부활 관련 법률안 심사의 핵심 법률"",""weight"":8,""keyword"":""지방자치법""},{""reason"":""강원도, 제주도 등 특별자치도 설치 및 운영 방향 논의의 중심"",""weight"":8,""keyword"":""특별자치도""},{""reason"":""제주특별자치도 내 기초자치단체 설치 및 주민투표 절차 마련 논의"",""weight"":7,""keyword"":""기초자치단체 부활""},{""reason"":""지방의원 연금제도 개선을 위한 일부개정법률안 심사 및 의결"",""weight"":7,""keyword"":""공무원연금법""},{""reason"":""지방자치단체 계약의 공정성과 긴급집행 관련 법률안 심사 및 의결"",""weight"":7,""keyword"":""지방자치단체 계약법""},{""reason"":""법률안 심사와 특별자치도 운영 방향 검토를 담당하는 정부 부처"",""weight"":6,""keyword"":""행정안전부""},{""reason"":""선관위 관련 의혹 해소를 위한 국회 차원의 자료 요구 및 협조 요청"",""weight"":6,""keyword"":""자료 제출 요구""}]"
407회,이태원 참사 특별법 상정 및 신속 처리 요청; 간사 선임 및 위원회 운영 관련 합의 사항 논의; 행정안전부 및 소관 기관에 대한 자료제출 요구 및 업무보고; 중앙선거관리위원회 관련 자료 제출 및 감사 문제; 인사혁신처 및 방통위원장 면직 관련 질의응답,"제407회 국회 행정안전위원회에서는 이태원 참사 특별법의 신속한 제정을 촉구하며 여야 간 조속한 합의를 당부하였다. 간사 선임과 위원회 내 소위원장 교대 및 법안 합의 처리 원칙에 대한 논의가 이루어졌으며, 일부 법안 처리에 대한 이견도 표출되었다. 행정안전부와 중앙선거관리위원회에 대한 자료제출 요구가 강조되었고, 선관위의 감사 문제 및 자료 제출 지연에 대한 질타가 있었다. 인사혁신처장과 방통위원장 면직 관련 절차와 법적 근거에 대한 집중 질의가 진행되었으며, 관련 문서 제출을 요청하였다. 전반적으로 국민 안전과 공정한 행정 운영에 대한 책임감과 협력 의지가 강조된 회의였다.","이태원 참사 특별법(10), 간사 선임(8), 자료제출 요구(9), 중앙선거관리위원회(7), 법안 합의 처리(7), 인사혁신처(6), 방통위원장 면직(7), 국민 안전(8), 행정안전부(6), 법안 처리(7)","{""간사 선임"":8,""국민 안전"":8,""법안 처리"":7,""인사혁신처"":6,""행정안전부"":6,""자료제출 요구"":9,""법안 합의 처리"":7,""방통위원장 면직"":7,""이태원 참사 특별법"":10,""중앙선거관리위원회"":7}","[{""reason"":""회의 전반에서 신속한 제정과 여야 합의가 가장 핵심적으로 논의된 주제"",""weight"":10,""keyword"":""이태원 참사 특별법""},{""reason"":""위원회 운영과 법안 처리에 직접적인 영향을 미치는 주요 안건"",""weight"":8,""keyword"":""간사 선임""},{""reason"":""행안부 및 선관위에 대한 자료 제출 문제와 관련해 반복적으로 강조된 쟁점"",""weight"":9,""keyword"":""자료제출 요구""},{""reason"":""감사 문제와 친족 채용 의혹 등으로 회의 중 집중 질의 대상"",""weight"":7,""keyword"":""중앙선거관리위원회""},{""reason"":""소위원장 교대와 함께 위원회 내 법안 처리 원칙으로 논의됨"",""weight"":7,""keyword"":""법안 합의 처리""},{""reason"":""방통위원장 면직 관련 절차와 법적 근거 질의에서 중요한 역할"",""weight"":6,""keyword"":""인사혁신처""},{""reason"":""면직 절차와 법적 근거에 대한 집중 질의와 논란의 중심"",""weight"":7,""keyword"":""방통위원장 면직""},{""reason"":""이태원 참사 및 재난안전관리 관련 법안과 정책의 근본 목적"",""weight"":8,""keyword"":""국민 안전""},{""reason"":""자료 제출 및 업무보고에서 주요 기관으로 다뤄짐"",""weight"":6,""keyword"":""행정안전부""},{""reason"":""위원회 내 법안 처리 속도와 합의 여부가 주요 논쟁점"",""weight"":7,""keyword"":""법안 처리""}]"
